title, Lat, Lon
 OUDA, -29.0675, 117.7572
 RHOD, -23.1017, 119.3678
 YIRR, -23.2167, 116.5000
 RPF , -28.5167, 116.6333
 MIND, -23.4000, 119.7833
 GNOW, -28.5833, 116.8667
 GOLD, -28.7000, 116.9333
 GARD, -26.4667, 118.4667
 NEWM, -23.4213, 119.8023
 MINI, -23.6042, 117.6892
 PARA, -23.2028, 117.6692
 TANG, -24.4114, 118.9408
 MARY, -25.0386, 120.0064
 WEEL, -22.9789, 120.0100
 MOUN, -25.1333, 116.4833
 SPRI, -24.9000, 116.5500
 MOUN, -28.1183, 117.8300
 PARA, -23.1726, 117.7493
 ERON, -25.5650, 116.6653
 MOOL, -28.2000, 118.0333
 MILG, -28.8500, 118.1333
 DIAM, -26.1900, 119.5317
 MARA, -29.3892, 117.8297
 CAPR, -23.4531, 119.7994
 NALL, -27.3158, 117.9719
 GLEN, -27.0497, 117.6500
 YOUN, -27.0722, 119.2522
 BYRO, -26.0794, 116.1539
 YUND, -25.7361, 116.9181
 CHAL, -28.2813, 118.3106
 EARO, -29.5000, 118.5000
 PLUT, -25.3106, 119.4481
 REED, -27.1242, 118.2714
 WALD, -24.7428, 117.3583
 GABA, -26.9183, 118.6406
 PIND, -29.3353, 118.1022
 MEEK, -26.6131, 118.5367
 MOUN, -24.3075, 116.9094
 BURR, -24.6522, 116.9281
 LAND, -25.1283, 116.9369
 MOUN, -24.3075, 116.9094
 COBR, -24.1994, 116.4814
 BURR, -24.6347, 116.9472
 DALG, -25.2694, 116.2211
 GING, -24.6141, 117.6530
 TEN , -24.1847, 119.7175
 MEEK, -26.6136, 118.5372
 INNO, -25.6939, 116.5381
 NARL, -27.8764, 116.2616
 GREE, -27.9791, 116.0348
 MOUN, -28.1156, 117.8425
 AJAN, -27.9607, 114.6336
 BALL, -28.0603, 114.9461
 BALL, -30.5967, 116.7714
 BALL, -30.5922, 116.9194
 BALL, -28.0058, 114.2206
 BARB, -30.7294, 116.0200
 BELL, -29.3333, 115.5000
 PIND, -28.8956, 115.8106
 BERK, -30.5831, 116.1350
 BIND, -30.6286, 116.3861
 BINN, -28.0422, 114.6737
 BLUF, -28.7550, 114.6133
 BOWE, -28.3800, 114.6706
 BOWG, -29.3303, 116.1433
 DALW, -30.2192, 116.7783
 BUNJ, -29.5750, 116.4967
 GLEN, -30.4450, 117.0406
 BUNT, -29.9869, 116.5711
 BUNT, -29.9331, 116.7697
 BUNY, -28.4375, 115.1783
 SHEL, -28.9822, 116.1683
 SUNN, -30.0425, 116.6981
 BALG, -30.2911, 116.3306
 CANN, -28.9000, 115.8500
 CANN, -28.9000, 115.9000
 CARN, -29.6883, 115.8857
 CARO, -29.5833, 116.3167
 PIND, -28.5167, 115.8000
 NABA, -28.5008, 114.7897
 TIBR, -28.7517, 114.9017
